,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots
0,2022-09-24,2022010001,Toronto Maple Leafs,4,Ottawa Senators,1,20222023,Final,31,20
1,2022-09-24,2022010002,Philadelphia Flyers,2,Boston Bruins,1,20222023,Final,29,32
2,2022-09-24,2022010003,Toronto Maple Leafs,2,Ottawa Senators,4,20222023,Final,23,27
3,2022-09-25,2022010004,Arizona Coyotes,4,St. Louis Blues,5,20222023,Final,4,5
4,2022-09-25,2022010005,Pittsburgh Penguins,3,Columbus Blue Jackets,2,20222023,Final,34,28
5,2022-09-25,2022010006,Washington Capitals,3,Buffalo Sabres,4,20222023,Final,27,28
6,2022-09-25,2022010007,Minnesota Wild,3,Colorado Avalanche,2,20222023,Final,36,25
7,2022-09-25,2022010008,Arizona Coyotes,2,Anaheim Ducks,3,20222023,Final,2,3
8,2022-09-25,2022010009,Edmonton Oilers,4,Winnipeg Jets,0,20222023,Final,26,29
9,2022-09-25,2022010010,Vancouver Canucks,2,Calgary Flames,3,20222023,Final,28,45
10,2022-09-25,2022010011,San Jose Sharks,3,Los Angeles Kings,2,20222023,Final,31,45
11,2022-09-25,2022010012,Columbus Blue Jackets,5,Pittsburgh Penguins,1,20222023,Final,32,34
12,2022-09-26,2022010013,Calgary Flames,4,Vancouver Canucks,0,20222023,Final,31,19
13,2022-09-26,2022010014,Colorado Avalanche,3,Vegas Golden Knights,1,20222023,Final,30,23
14,2022-09-26,2022010015,Nashville Predators,3,Florida Panthers,4,20222023,Final,25,32
15,2022-09-26,2022010016,Montréal Canadiens,1,New Jersey Devils,2,20222023,Final,21,31
16,2022-09-26,2022010017,New York Rangers,4,New York Islanders,1,20222023,Final,35,24
17,2022-09-27,2022010018,Nashville Predators,4,Florida Panthers,0,20222023,Final,38,25
18,2022-09-27,2022010019,Dallas Stars,0,St. Louis Blues,4,20222023,Final,33,28
19,2022-09-27,2022010020,Seattle Kraken,3,Edmonton Oilers,0,20222023,Final,27,29
20,2022-09-27,2022010021,Vegas Golden Knights,1,Los Angeles Kings,2,20222023,Final,34,18
21,2022-09-27,2022010022,Pittsburgh Penguins,2,Detroit Red Wings,6,20222023,Final,33,21
22,2022-09-27,2022010023,New Jersey Devils,4,New York Islanders,1,20222023,Final,26,25
23,2022-09-27,2022010024,Boston Bruins,3,New York Rangers,2,20222023,Final,36,26
24,2022-09-27,2022010025,Buffalo Sabres,2,Philadelphia Flyers,1,20222023,Final,21,21
25,2022-09-27,2022010026,Carolina Hurricanes,5,Tampa Bay Lightning,1,20222023,Final,46,21
26,2022-09-28,2022010027,Dallas Stars,4,Arizona Coyotes,3,20222023,Final,4,3
27,2022-09-28,2022010028,Winnipeg Jets,5,Ottawa Senators,3,20222023,Final,24,27
28,2022-09-28,2022010029,Chicago Blackhawks,1,St. Louis Blues,4,20222023,Final,32,22
29,2022-09-28,2022010030,Colorado Avalanche,2,Minnesota Wild,5,20222023,Final,41,26
30,2022-09-28,2022010031,Seattle Kraken,3,Calgary Flames,0,20222023,Final,35,25
31,2022-09-28,2022010032,San Jose Sharks,5,Anaheim Ducks,4,20222023,Final,29,30
33,2022-09-28,2022010033,Columbus Blue Jackets,4,Buffalo Sabres,1,20222023,Final,31,23
34,2022-09-28,2022010035,Toronto Maple Leafs,3,Montréal Canadiens,0,20222023,Final,29,27
35,2022-09-28,2022010036,Philadelphia Flyers,1,Washington Capitals,3,20222023,Final,21,27
36,2022-09-28,2022010037,Detroit Red Wings,2,Chicago Blackhawks,4,20222023,Final,33,22
37,2022-09-29,2022010038,Calgary Flames,4,Edmonton Oilers,0,20222023,Final,34,21
38,2022-09-29,2022010039,Anaheim Ducks,3,Arizona Coyotes,1,20222023,Final,23,29
39,2022-09-29,2022010040,Vegas Golden Knights,7,Colorado Avalanche,1,20222023,Final,28,26
40,2022-09-29,2022010041,Los Angeles Kings,1,San Jose Sharks,3,20222023,Final,1,3
41,2022-09-29,2022010042,Florida Panthers,2,Carolina Hurricanes,5,20222023,Final,30,28
42,2022-09-29,2022010044,New York Rangers,2,New Jersey Devils,5,20222023,Final,17,36
43,2022-09-29,2022010045,Montréal Canadiens,3,Winnipeg Jets,4,20222023,Final,25,25
44,2022-09-30,2022010043,Tampa Bay Lightning,0,Nashville Predators,2,20222023,Final,30,31
45,2022-09-30,2022010046,St. Louis Blues,4,Columbus Blue Jackets,2,20222023,Final,21,35
46,2022-09-30,2022010047,Dallas Stars,2,Minnesota Wild,5,20222023,Final,35,28
47,2022-09-30,2022010048,Vancouver Canucks,3,Seattle Kraken,4,20222023,Final,36,29
48,2022-09-30,2022010049,Nashville Predators,7,Tampa Bay Lightning,1,20222023,Final,28,28
49,2022-09-30,2022010050,New Jersey Devils,1,New York Rangers,2,20222023,Final,26,37
