,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x
0,2022-09-24,2022010001,Toronto Maple Leafs,4,Ottawa Senators,1,20222023,Final,31,20,43,46,42,31,2.220472440944882,0.22137404580152673
1,2022-09-24,2022010002,Philadelphia Flyers,2,Boston Bruins,1,20222023,Final,29,32,61,50,37,49,11.572519083969466,12.441379310344828
2,2022-09-24,2022010003,Toronto Maple Leafs,2,Ottawa Senators,4,20222023,Final,23,27,51,46,37,37,-1.6,-3.8055555555555554
3,2022-09-25,2022010004,Arizona Coyotes,4,St. Louis Blues,5,20222023,Final,4,5,5,4,4,5,,
4,2022-09-25,2022010005,Pittsburgh Penguins,3,Columbus Blue Jackets,2,20222023,Final,34,28,58,66,50,40,15.305194805194805,10.984615384615385
5,2022-09-25,2022010006,Washington Capitals,3,Buffalo Sabres,4,20222023,Final,27,28,50,51,38,39,-0.823076923076923,1.9175257731958764
6,2022-09-25,2022010007,Minnesota Wild,3,Colorado Avalanche,2,20222023,Final,36,25,49,65,50,33,-25.81118881118881,-17.55263157894737
7,2022-09-25,2022010008,Arizona Coyotes,2,Anaheim Ducks,3,20222023,Final,2,3,3,2,2,3,,
8,2022-09-25,2022010009,Edmonton Oilers,4,Winnipeg Jets,0,20222023,Final,26,29,48,55,38,39,4.0,5.71304347826087
9,2022-09-25,2022010010,Vancouver Canucks,2,Calgary Flames,3,20222023,Final,28,45,79,51,36,59,-4.328,-3.1456953642384105
10,2022-09-25,2022010011,San Jose Sharks,3,Los Angeles Kings,2,20222023,Final,31,45,59,64,47,53,16.364864864864863,7.673758865248227
11,2022-09-25,2022010012,Columbus Blue Jackets,5,Pittsburgh Penguins,1,20222023,Final,32,34,58,49,40,47,-4.11864406779661,-9.294117647058824
12,2022-09-26,2022010013,Calgary Flames,4,Vancouver Canucks,0,20222023,Final,31,19,28,45,40,24,-1.5,-3.776595744680851
13,2022-09-26,2022010014,Colorado Avalanche,3,Vegas Golden Knights,1,20222023,Final,30,23,39,67,49,30,11.130081300813009,2.361904761904762
14,2022-09-26,2022010015,Nashville Predators,3,Florida Panthers,4,20222023,Final,25,32,68,58,39,47,9.253424657534246,12.045801526717558
15,2022-09-26,2022010016,Montréal Canadiens,1,New Jersey Devils,2,20222023,Final,21,31,56,48,29,43,-2.569105691056911,0.3969465648854962
