,Unnamed: 0,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x,home_mean_y,away_mean_y,home_penalties,away_penalties,home_hits,away_hits,home_takeaways,away_takeaways
0,0,2022-09-24,2022010001,Toronto Maple Leafs,4,Ottawa Senators,1,20222023,Final,31,20,43,46,42,31,2.220472440944882,0.22137404580152675,3.716535433070866,-0.6183206106870229,3,4,31,47,8,2
1,1,2022-09-24,2022010002,Philadelphia Flyers,2,Boston Bruins,1,20222023,Final,29,32,61,50,37,49,11.572519083969464,12.441379310344827,1.2671755725190839,2.896551724137931,10,9,31,35,7,6
2,2,2022-09-24,2022010003,Toronto Maple Leafs,2,Ottawa Senators,4,20222023,Final,23,27,51,46,37,37,-1.6,-3.8055555555555554,-2.328,0.6875,3,3,31,46,8,8
3,3,2022-09-25,2022010004,Arizona Coyotes,4,St. Louis Blues,5,20222023,Final,4,5,5,4,4,5,,,,,0,0,0,0,0,0
4,4,2022-09-25,2022010005,Pittsburgh Penguins,3,Columbus Blue Jackets,2,20222023,Final,34,28,58,66,50,40,15.305194805194805,10.984615384615383,-1.4350649350649352,2.3923076923076922,4,3,43,32,10,5
5,5,2022-09-25,2022010006,Washington Capitals,3,Buffalo Sabres,4,20222023,Final,27,28,50,51,38,39,-0.823076923076923,1.9175257731958764,-0.18461538461538463,-3.247422680412371,4,2,25,13,6,3
6,6,2022-09-25,2022010007,Minnesota Wild,3,Colorado Avalanche,2,20222023,Final,36,25,49,65,50,33,-25.811188811188806,-17.55263157894737,-0.3076923076923077,5.37719298245614,4,4,25,39,5,1
7,7,2022-09-25,2022010008,Arizona Coyotes,2,Anaheim Ducks,3,20222023,Final,2,3,3,2,2,3,,,,,0,0,0,0,0,0
8,8,2022-09-25,2022010009,Edmonton Oilers,4,Winnipeg Jets,0,20222023,Final,26,29,48,55,38,39,4.0,5.71304347826087,2.26027397260274,0.24347826086956523,4,3,31,27,13,5
9,9,2022-09-25,2022010010,Vancouver Canucks,2,Calgary Flames,3,20222023,Final,28,45,79,51,36,59,-4.328,-3.1456953642384105,-0.664,-0.9072847682119205,9,8,19,23,5,4
10,10,2022-09-25,2022010011,San Jose Sharks,3,Los Angeles Kings,2,20222023,Final,31,45,59,64,47,53,16.364864864864863,7.673758865248227,2.081081081081081,-0.9929078014184397,8,6,31,23,8,7
11,11,2022-09-25,2022010012,Columbus Blue Jackets,5,Pittsburgh Penguins,1,20222023,Final,32,34,58,49,40,47,-4.11864406779661,-9.294117647058824,0.7796610169491526,2.46218487394958,6,4,19,18,10,10
12,12,2022-09-26,2022010013,Calgary Flames,4,Vancouver Canucks,0,20222023,Final,31,19,28,45,40,24,-1.5,-3.776595744680851,-0.19607843137254902,2.127659574468085,5,7,15,17,7,8
13,13,2022-09-26,2022010014,Colorado Avalanche,3,Vegas Golden Knights,1,20222023,Final,30,23,39,67,49,30,11.130081300813007,2.361904761904762,-1.3008130081300813,0.17142857142857143,5,9,13,20,8,6
14,14,2022-09-26,2022010015,Nashville Predators,3,Florida Panthers,4,20222023,Final,25,32,68,58,39,47,9.253424657534246,12.045801526717556,2.219178082191781,-1.0458015267175573,4,5,33,21,5,4
15,15,2022-09-26,2022010016,Montréal Canadiens,1,New Jersey Devils,2,20222023,Final,21,31,56,48,29,43,-2.5691056910569112,0.3969465648854962,0.8292682926829268,2.7786259541984735,4,5,22,26,11,7
16,16,2022-09-26,2022010017,New York Rangers,4,New York Islanders,1,20222023,Final,35,24,37,58,45,32,-2.2222222222222223,-0.5267857142857143,0.2222222222222222,-0.4375,5,3,22,35,9,9
17,17,2022-09-27,2022010018,Nashville Predators,4,Florida Panthers,0,20222023,Final,38,25,47,65,57,36,15.226666666666668,-0.35106382978723405,0.7933333333333333,-7.042553191489362,2,3,23,12,11,6
18,18,2022-09-27,2022010019,Dallas Stars,0,St. Louis Blues,4,20222023,Final,33,28,60,63,46,39,-13.115702479338847,6.6083333333333325,-0.6033057851239669,-0.09166666666666666,1,3,19,28,2,4
19,19,2022-09-27,2022010020,Seattle Kraken,3,Edmonton Oilers,0,20222023,Final,27,29,56,50,36,44,16.350877192982455,4.889908256880734,0.956140350877193,0.14678899082568808,5,7,23,19,9,5
20,20,2022-09-27,2022010021,Vegas Golden Knights,1,Los Angeles Kings,2,20222023,Final,34,18,33,58,45,22,-1.2421875,3.3873873873873874,-0.6171875,2.873873873873874,3,4,24,38,9,6
21,21,2022-09-27,2022010022,Pittsburgh Penguins,2,Detroit Red Wings,6,20222023,Final,33,21,47,49,43,32,17.439655172413794,-4.597222222222221,4.068965517241379,1.5416666666666667,2,9,29,39,8,20
22,22,2022-09-27,2022010023,New Jersey Devils,4,New York Islanders,1,20222023,Final,26,25,43,48,36,34,5.3826086956521735,3.484536082474227,2.2869565217391306,0.05154639175257732,5,3,21,17,10,6
23,23,2022-09-27,2022010024,Boston Bruins,3,New York Rangers,2,20222023,Final,36,26,43,53,45,33,-1.6910569105691058,-16.151785714285715,2.268292682926829,-0.16071428571428573,4,1,30,32,5,3
24,24,2022-09-27,2022010025,Buffalo Sabres,2,Philadelphia Flyers,1,20222023,Final,21,21,37,42,28,30,1.8311688311688312,-6.891566265060241,1.1168831168831168,-1.9036144578313252,4,4,11,10,0,5
25,25,2022-09-27,2022010026,Carolina Hurricanes,5,Tampa Bay Lightning,1,20222023,Final,46,21,41,72,64,29,-8.085271317829458,2.679611650485437,1.3875968992248062,-2.6601941747572817,3,6,8,25,11,7
26,26,2022-09-28,2022010027,Dallas Stars,4,Arizona Coyotes,3,20222023,Final,4,3,3,4,4,3,,,,,0,0,0,0,0,0
27,27,2022-09-28,2022010028,Winnipeg Jets,5,Ottawa Senators,3,20222023,Final,24,27,51,48,34,39,6.8203125,-4.071428571428571,3.7578125,0.6607142857142857,2,3,26,24,10,6
28,28,2022-09-28,2022010029,Chicago Blackhawks,1,St. Louis Blues,4,20222023,Final,32,22,46,46,40,33,1.0619469026548674,-3.1071428571428568,-1.407079646017699,1.5535714285714286,5,5,12,16,11,14
